Rank,Tiktoker name,Tiktok name,followers,avgviews,avglikes,avgcomments,avgshares
240,davidcstt_,David Costa,6200000.0,3000000.0,514000.0,1700.0,1200.0
241,badboyrema,Rema,2700000.0,3100000.0,421000.0,2600.0,894.0
242,simxmargo,Seamoan {1M+},1000000.0,2400000.0,493100.0,2100.0,1700.0
243,elainebabey,ELAINEBABEY,142800.0,1700000.0,280400.0,3600.0,5900.0
244,chinguamiga,Chingu Amiga,20700000.0,4200000.0,566200.0,1500.0,393.0
245,siscakohl,Sisca Kohl,13000000.0,4400000.0,369100.0,1900.0,716.0
246,santiperezvivas,Santi Perez,3500000.0,2500000.0,450900.0,1400.0,2500.0
247,jessnolimit999,Jess No Limit,6900000.0,4100000.0,379500.0,2200.0,536.0
248,b.blek,b.blek,3300000.0,3100000.0,244600.0,2200.0,3500.0
249,jacksepticeye,Jacksepticeye,5000000.0,2300000.0,476000.0,2700.0,1100.0
250,saramohannad_,Sara,9000000.0,3600000.0,220700.0,3700.0,1600.0
251,andrewrousso,Andrew Rousso,2800000.0,1100000.0,245800.0,2000.0,13400.0
252,murphslife,Aaron Murphy,6000000.0,1900000.0,250000.0,4700.0,3900.0
253,haileesteinfeld,Hailee Steinfeld,3600000.0,1600000.0,273900.0,7000.0,2200.0
254,abir.sag,Abir el saghir,18900000.0,3200000.0,236000.0,4200.0,1100.0
255,paytonking,Payton King,5300000.0,1700000.0,388200.0,2700.0,3400.0
256,winniedom,Winnie Dominguez 🌻,499700.0,1800000.0,305500.0,2000.0,5200.0
257,lukas.urkijo,Lukas urkijo,2000000.0,2000000.0,422000.0,3400.0,1300.0
258,nia.ramadhani.bakrie,Nia Ramadhani Bakrie,2100000.0,4100000.0,337100.0,1600.0,1200.0
259,fredziownik_art,Franek Bielak,12900000.0,6700000.0,300200.0,1600.0,340.0
260,fedez,fedez,5900000.0,2600000.0,381000.0,1500.0,2600.0
261,ser_jay,Hello It’s me SerJay,5600000.0,2000000.0,303100.0,2100.0,4300.0
262,ketnipz,Ketnipz,5300000.0,1700000.0,274100.0,558.0,7700.0
263,cookingwithlynja,Lynja,14500000.0,1900000.0,193500.0,10000.0,429.0
264,katiavlogss,KATIAVLOGS🐒,15100000.0,4800000.0,552900.0,571.0,872.0
265,cbum,Chris Bumstead,3800000.0,3000000.0,231500.0,983.0,4400.0
266,recider,Recider,2200000.0,2100000.0,546400.0,1100.0,2200.0
267,moosenyc2,moose,1000000.0,3000000.0,388100.0,1200.0,2000.0
268,linatejeiro8,Lina Tejeiro,4600000.0,3700000.0,311700.0,1800.0,1400.0
269,jakehunterofficial,Jake hunter,3700000.0,3400000.0,270300.0,2000.0,2000.0
270,dylan.page,Dylan Page,4900000.0,1900000.0,278000.0,4200.0,2700.0
271,nurse.johnn,nurse.johnn,3300000.0,1600000.0,226700.0,1200.0,8800.0
272,lilnasx,lil nas x,29100000.0,2600000.0,371100.0,2200.0,1500.0
273,catherineealicia,catheez,2000000.0,3200000.0,362100.0,1800.0,1300.0
274,aleatoriamente7777,Gabriel Aleatoriamente,2000000.0,1500000.0,353600.0,5100.0,1600.0
275,isaac.h.p.karaoke.backup,Isaac H.P Karaoke Backup,2000000.0,1000000.0,225500.0,6400.0,9400.0
276,aydas,Aydas,14900000.0,4500000.0,326400.0,1800.0,558.0
277,anokhinalz,Аnokhina Liza,39000000.0,4100000.0,406600.0,1800.0,294.0
278,bryan_skabeche,Bryan SKabeche,7200000.0,4900000.0,485500.0,987.0,486.0
279,wuesilva,Wue Silva,14300000.0,3000000.0,305400.0,1400.0,2500.0
280,daviddobrik,DAVID DOBRIK,26400000.0,3000000.0,423700.0,884.0,1900.0
281,victtoriamedeiros,Victtória Medeiros,8700000.0,2800000.0,337100.0,1200.0,2500.0
282,datvilla94,🔥Đạt Villa🔥,7300000.0,1700000.0,200700.0,6600.0,3800.0
283,cody.taurus,Cody Taurus,740600.0,1300000.0,155500.0,1400.0,15300.0
284,anwar,Anwar Jibawi,13100000.0,2300000.0,310700.0,2400.0,2300.0
285,marlene2995,Marlenebenitez,12000000.0,4000000.0,305700.0,1400.0,1400.0
286,jkartsoccer_tiktok,JKartsoccer,1500000.0,5800000.0,288900.0,813.0,1200.0
287,bellacampox,Bella Campos,786400.0,2500000.0,372400.0,2300.0,1400.0
288,lionfieldmusic,lionfield,5900000.0,2600000.0,294900.0,2900.0,1600.0
289,andrefernm,André Fernandes,387300.0,888500.0,111900.0,5700.0,28300.0
290,mandrake1984real,Giuseppe Mandrake Ninno,1600000.0,2100000.0,250400.0,1100.0,5200.0
291,elena_oki,Elena,1300000.0,2000000.0,352200.0,1500.0,3200.0
292,prokhozhy,Виктор Пак,1400000.0,1800000.0,161000.0,1700.0,9400.0
293,tangmokoko,แตงโม โกโก้ปั่น,1100000.0,3200000.0,445700.0,707.0,1600.0
294,haileybieber,Hailey Bieber,10500000.0,3300000.0,398500.0,1500.0,972.0
295,mackenzieziegler,Mackenzie Ziegler,22400000.0,4400000.0,694300.0,700.0,369.0
296,canalzezao,Zezão,7700000.0,2000000.0,166500.0,2200.0,7700.0
297,francoescamillaofficial,Franco Escamilla,18300000.0,3100000.0,372200.0,498.0,2300.0
298,agnesmelo_oficial,Agnes Melo,6000000.0,3700000.0,410900.0,1100.0,1000.0
299,shenacinnamon,Shenina Cinnamon,598000.0,6400000.0,478200.0,542.0,499.0
300,inpersa16,Indah permatasari,2300000.0,3900000.0,295000.0,1600.0,1100.0
301,smtown_official,SMTOWN,2800000.0,1800000.0,379600.0,2900.0,1800.0
302,ive.official,IVE.official,3600000.0,1800000.0,334300.0,4000.0,1300.0
303,jostyle_17,Jostyle17,1600000.0,2400000.0,290400.0,1100.0,3500.0
304,unnecessaryinventions,Unnecessary Inventions,6000000.0,3100000.0,303100.0,2500.0,876.0
305,felipenpv,Felipe Paiva,5000000.0,2000000.0,361000.0,2500.0,1800.0
306,itskingchris,KingChristian,18300000.0,2100000.0,386300.0,2600.0,1300.0
307,jackjos3ph,Jack Joseph,3400000.0,1700000.0,258600.0,3100.0,3900.0
308,leleburnier,LELÊ BURNIER,2700000.0,1800000.0,424300.0,3300.0,777.0
309,theacefamily,Theacefamily,6500000.0,4100000.0,521000.0,0.0,1400.0
310,vilmeijuga,VILMEI✨,21400000.0,3300000.0,267500.0,2100.0,1400.0
311,divabry,⚜️DIVABRY⚜️,4300000.0,2900000.0,369900.0,1500.0,1300.0
312,jeffwittek,jeff,2000000.0,3900000.0,496800.0,526.0,1000.0
313,oli_natu,Oli Natu,11200000.0,2800000.0,361800.0,1500.0,1500.0
314,erictro,Eric Tro,4900000.0,3600000.0,397500.0,560.0,1500.0
315,mozzacella.cheez,Mozzarella Cheese,69000.0,2100000.0,281400.0,4000.0,1100.0
316,jubiandxian,jubiandxian,6400000.0,2800000.0,486900.0,1100.0,1100.0
317,shamichef21,Shamichef,2600000.0,3700000.0,113600.0,2000.0,5100.0
318,arigameplays,AriGameplays,23600000.0,2900000.0,415800.0,1600.0,897.0
319,dudamaryah,dudamaryah,6800000.0,2400000.0,435500.0,1500.0,1300.0
320,camilo,Camilo,29600000.0,4100000.0,417900.0,1200.0,520.0
321,shakira,Shakira,27300000.0,3100000.0,305800.0,2300.0,747.0
322,axelwebber,Axel,4400000.0,2800000.0,384000.0,1700.0,1100.0
323,katelynrosebrown,KatelynBrown,1900000.0,3300000.0,375700.0,1400.0,1000.0
324,kaansanity,aakaanksh,5000000.0,3300000.0,159900.0,1500.0,4000.0
325,andresgjohnson,Andres Johnson256,4700000.0,1900000.0,237600.0,1100.0,5500.0
326,zhcyt,ZHC,15400000.0,3300000.0,466000.0,1500.0,410.0
327,cedriklorenzen,Cedrik Lorenzen,3200000.0,1300000.0,180000.0,3600.0,8400.0
328,emiliamernes,EMILIA,5000000.0,3900000.0,403300.0,869.0,920.0
329,tooturnttony,Tooturnttony,18800000.0,2900000.0,340900.0,2300.0,513.0
330,moisesturcioss,Moises TurciosⓂ️,1200000.0,1900000.0,115900.0,1700.0,10800.0
331,marcel.ruiz,Marcel Ruiz,303100.0,1500000.0,374500.0,3300.0,1700.0
332,pakoyaso_,Pakoyaso,14500000.0,4200000.0,500100.0,758.0,574.0
333,phuonganhcun97,Lê Phương Anh,1600000.0,4000000.0,314000.0,1700.0,520.0
334,emrata,Emrata,2100000.0,3400000.0,323000.0,867.0,1600.0
335,ygnazz,NAS,2500000.0,2200000.0,318900.0,1700.0,2300.0
336,twice_tiktok_officialjp,TWICE JAPAN OFFICIAL,4800000.0,1300000.0,276500.0,4800.0,2900.0
337,syifahadjuuuuuuu,Syifa Hadju,4100000.0,3300000.0,473800.0,1200.0,513.0
338,xule079,Xù LèO,1800000.0,5300000.0,235100.0,2000.0,213.0
339,vanessalopesr,Vanessa Lopes,26900000.0,2900000.0,275600.0,2200.0,1300.0
340,fahmi.nm,Fahmi,8800000.0,3300000.0,437700.0,1200.0,759.0
341,postmalone,Post Malone,14400000.0,1600000.0,221000.0,2800.0,4900.0
342,kekepalmer,Keke Palmer,7000000.0,1800000.0,313900.0,2200.0,2600.0
343,mrcaqui,Facundo Izquierdo,7100000.0,1000000.0,294100.0,1500.0,7400.0
344,madelineargy,madz,3300000.0,3200000.0,574800.0,976.0,463.0
345,los_chicaneros,Los_chicaneros,5200000.0,2300000.0,235400.0,1500.0,3400.0
346,kaelimaee,kaeli mae,12400000.0,3200000.0,435900.0,1100.0,786.0
347,sara.wais,Sara Waisglass,4400000.0,2400000.0,502000.0,1700.0,481.0
348,anas_elshayib,انس الشايب,4600000.0,3500000.0,182400.0,2300.0,1700.0
349,jjeverettrose,Jake Joseph Everett-Rose,4300000.0,2300000.0,375100.0,1600.0,1500.0
350,sauud_70,سعود القحطاني,2700000.0,3300000.0,111700.0,5600.0,1400.0
351,simonservidamusic,simonservidamusic,126400.0,2300000.0,252000.0,1800.0,2700.0
352,itstaylerholder,Tayler Holder,20000000.0,4800000.0,301200.0,1200.0,601.0
353,rafaelsantos,Rafael Santos,19400000.0,2800000.0,417300.0,1700.0,497.0
